courseCode,titleZH,titleEN,credits,timeCode,classroom,instructor,unit,post110Domain,post110Cluster,quota,enrolled,available,language,note
0416,2,456,,Y202,通識中心,48,35,社會,心理與教育,13,中文,不開放校際選課及特殊加簽,48,200
0417,3,4789,,Y303,通識中心,50,49,社會,心理與教育,1,中文,不開放校際選課及特殊加簽,50,702
0421,2,478,,Y212,通識中心,50,56,社會,法律與政治,0,中文,,50,288
0422,2,378,,SC204,通識中心,55,53,社會,法律與政治,2,中文,,55,138
0423,2,478,,Y309,通識中心,60,62,社會,法律與政治,0,中文,,60,278
0424,2,356,,SC112,通識中心,150,148,社會,法律與政治,2,中文,請注意：不開放特殊情形簽核,150,303
0425,2,178,,Y309,通識中心,60,57,社會,法律與政治,3,中文,,60,205
0426,2,456,,SC103,通識中心,70,74,社會,法律與政治,0,中文,不開放特殊加簽,70,236
0427,2,256,,SC112,通識中心,150,150,社會,法律與政治,0,中文,不開放校際選課,150,407
0429,2,278,,Y410,通識中心,60,71,社會,法律與政治,0,中文,不開放校際選課;國防教育只採計一門為通識學分,60,847
0430,2,378,,Y104,通識中心,100,120,社會,法律與政治,0,中文,不開放校際選課;國防教育只採計一門為通識學分,100,834
0431,2,278,,Y409,通識中心,60,70,社會,法律與政治,0,中文,不開放校際選課;國防教育只採計一門為通識學分,60,750
0432,2,256,,SC111,通識中心,100,108,社會,法律與政治,0,中文,,100,286
0433,2,256,,Y206,通識中心,50,49,社會,法律與政治,1,中文,,50,129
0434,2,556,,Y104,通識中心,120,107,社會,法律與政治,13,中文,不開放校際選課及特殊加簽,120,193
0435,2,234,,Y109,通識中心,45,29,社會,法律與政治,16,英文/EMI,English Conducting.,45,94
0436,2,256,,Y109,通識中心,45,31,社會,資訊與傳播,14,英文/EMI,English Conducting.,45,66
0439,2,234,,AC101,通識中心,40,0,社會,心理與教育,40,中文,(未成班，停開)【南投分部-循環經濟研究學院(於「役政署」下車)】上、下課請各預留1~2小時搭車時間,40,50
0490,2,*,,*,通識中心,50,50,社會,商業與管理,0,中文,【跨校線上課程】細節ewant育網平台另行EMail通知。不開放校際選課及加簽,50,787
0501,2,156,,CE206,通識中心,32,31,自然,工程科技,1,中文,示範實驗,32,293
0503,2,334,,ATB29,通識中心,100,104,自然,工程科技,0,中文,詳見教學大綱,100,579
0504,2,234,,ATB29,通識中心,70,68,自然,工程科技,2,中文,不開放校際選課及特殊加簽,70,236
0505,3,1567,,ATB29,通識中心,60,60,自然,工程科技,0,中文,,60,233
0508,2,134,,Y208,通識中心,35,34,自然,生命科學,1,中文,不開放校際選課及特殊加簽,35,301
0509,2,134,,EC7D09,通識中心,81,45,自然,生命科學,36,中文,,81,130
0510,2,289,,Y307,通識中心,50,47,自然,生命科學,3,中文,不開放校際選課及特殊加簽,50,173
0511,2,456,,R10B05,通識中心,100,104,自然,生命科學,0,中文,,100,345
0512,2,234,,Y112,通識中心,120,84,自然,生命科學,36,中文,,120,144
0513,2,323,,H101,通識中心,41,41,自然,生命科學,0,中文,不開放校際選課,41,124
0514,2,134,,AN514,通識中心,31,31,自然,生命科學,0,中文,不開放校際選課,31,252
0515,2,278,,Y104,通識中心,121,120,自然,生命科學,1,中文,不開放校際選課,121,531
0516,2,478,,Y112,通識中心,121,121,自然,生命科學,0,中文,不開放校際選課,121,662
0517,2,434,,Y403,通識中心,50,52,自然,生命科學,0,英文/EMI,English Conducting,50,73
0518,2,167,,Y402,通識中心,50,50,自然,生命科學,0,中文,不開放校際選課及特殊加簽，修過「良醫講堂」者，請不要再選本課程。,50,247
0519,2,189,,Y402,通識中心,50,48,自然,生命科學,2,中文,不開放校際選課及特殊加簽，修過「良醫講堂」者，請不要再選本課程。,50,307
0520,2,589,,Y402,通識中心,50,47,自然,生命科學,3,中文,不開放校際選課及特殊加簽，修過「良醫講堂」者，請不要再選本課程。,50,277
0521,2,567,,Y402,通識中心,50,49,自然,生命科學,1,中文,不開放校際選課及特殊加簽，修過「良醫講堂」者，請不要再選本課程。,50,268
0522,2,234,,Y207,通識中心,50,50,自然,生命科學,0,中文,不開放校際選課及特殊加簽,50,183
0523,2,234,,Y403,通識中心,50,37,自然,生命科學,13,英文/EMI,English Conducting.,50,47
0524,2,489,,Y402,通識中心,50,47,自然,生命科學,3,中文,不開放校際選課及特殊加簽,50,269
0525,2,489,,Y409,通識中心,50,49,自然,生命科學,1,中文,不開放校際選課及特殊加簽,50,204
0526,2,356,,Y307,通識中心,50,52,自然,生命科學,0,中文,不開放校際選課及特殊加簽,50,246
0528,2,*,,AT655,通識中心,40,19,自然,生命科學,21,中文,配合教育部人才培育計畫，本課程暑假上課(114/7/7~7/11),40,0
0529,2,267,,Y308,通識中心,50,50,自然,生命科學,0,中文,不開放校際選課及特殊加簽,50,195
0530,2,434,,Y104,通識中心,100,110,自然,生命科學,0,中文,不開放校際選課,100,427
0531,2,456,,Y104,通識中心,100,110,自然,生命科學,0,中文,不開放校際選課及特殊加簽,100,444
0532,2,534,,Y403,通識中心,50,53,自然,生命科學,0,英文/EMI,English Conducting.,50,86
0533,2,134,,SC111,通識中心,150,150,自然,生命科學,0,中文,不開放校際選課及特殊加簽,150,493
0534,2,534,,SC111,通識中心,150,148,自然,生命科學,2,中文,不開放校際選課及特殊加簽,150,453
0535,2,456,,Y402,通識中心,60,62,自然,生命科學,0,中文,不開放校際選課,60,194
0536,2,378,,Y403,通識中心,50,52,自然,生命科學,0,英文/EMI,English Conducting.,50,90
0537,2,434,,Y112,通識中心,100,104,自然,生命科學,0,中文,,100,278
0542,2,578,,SC111,通識中心,150,146,自然,物質科學,4,中文,,150,495
0546,2,278,,Y302,通識中心,60,58,自然,環境科學,2,中文,本課程歡迎對永續農業發展有興趣的各學院學生選修,60,145
0547,2,334,,Y403,通識中心,50,48,自然,環境科學,2,英文/EMI,English Conducting.,50,73
0548,2,167,,Y403,通識中心,72,21,自然,環境科學,51,中文,,72,82
0549,2,189,,Y403,通識中心,72,27,自然,環境科學,45,中文,,72,102
0550,2,156,,Y410,通識中心,50,52,自然,環境科學,0,中文,,50,124
0551,3,5234,,Y305,通識中心,40,43,自然,環境科學,0,中文,建議非森林系、土環系學生選修,40,132
0631,2,434,,CC214,通識中心,50,45,核心素養,資訊素養,5,中文,,50,173
0633,2,212,,Y207,通識中心,32,32,核心素養,反思創新,0,中文,不開放校際選課及特殊加簽,32,172
0634,2,578,,Y401,通識中心,50,45,核心素養,反思創新,5,中文,不開放校際選課及特殊加簽,50,187
0637,2,434,,SC112,通識中心,130,134,核心素養,全球思維,0,中文,,130,483
0638,2,534,,Y206,通識中心,50,45,核心素養,全球思維,5,英文/EMI,English Conducting.,50,92
0639,2,178,,Y410,通識中心,50,49,核心素養,全球思維,1,中文,,50,153
0641,2,534,,Y401,通識中心,72,72,核心素養,全球思維,0,中文,不開放校際選課及特殊加簽,72,275
0644,2,334,,Y104,通識中心,100,110,核心素養,在地關懷,0,中文,,100,478
0646,2,589,,Y104,通識中心,70,27,核心素養,在地關懷,43,中文,須配合教育部數位學伴等計畫之媒合時段至指定電腦教室進行十週線上教學服務，詳閱課綱及簡章說明：https://reurl.cc/b3NRLX,70,93
0647,2,278,,Y207,通識中心,20,25,核心素養,在地關懷,0,中文,不開放校際選課;開放少數名額加選.第4~15週需使用課堂時間至信義國小服務,20,148
0648,2,334,,Y208,通識中心,40,24,核心素養,在地關懷,16,中文,"不開放特殊加簽，有幾日須進行實地查訪,請預留週六時間",40,46
0650,2,156,,I407,通識中心,60,59,核心素養,在地關懷,1,中文,第2週起改至Y202上課，不開放特殊加簽,60,164
0651,2,556,,QB101,通識中心,31,35,核心素養,在地關懷,0,中文,須於週五下午1點~5點至動物收容中心服務，建議下午未排課的非獸醫系同學選修,31,268
0652,2,534,,Y402,通識中心,50,36,核心素養,在地關懷,14,中文,不開放校際選課及特殊加簽,50,75
0654,2,178,,Y102,通識中心,48,44,核心素養,自我表達,4,中文,,48,171
0655,2,356,,Y202,通識中心,45,39,核心素養,自我表達,6,英文/EMI,English Conducting.Inter-school course selection closed.,45,161
0656,2,578,,Y112,通識中心,50,49,核心素養,自我表達,1,中文,不開放校際選課及特殊加簽,50,360
0659,2,478,,Y302,通識中心,60,61,核心素養,團隊合作,0,中文,,60,216
0662,2,278,,Y301,通識中心,50,54,核心素養,審美求真,0,中文,,50,206
0663,1,18,,Y308,通識中心,40,38,核心素養,審美求真,2,中文,不開放校際選課,40,147
0664,2,356,,A205,通識中心,45,42,核心素養,審美求真,3,中文,不開放校際選課及特殊加簽,45,221
0666,2,178,,V202,通識中心,20,18,核心素養,學校特色,2,中文,不開放校際選課,20,138
0667,1,15,,Y409,通識中心,40,56,核心素養,學校特色,0,中文,,40,579
0671,2,556,,SC111,通識中心,150,149,核心素養,應用整合,1,中文,,150,523
0672,2,456,,Y102,通識中心,48,47,核心素養,應用整合,1,中文,不開放校際選課,48,370
0673,2,156,,Y301,通識中心,40,0,核心素養,應用整合,40,中文,(未成班，停開),40,31
0690,2,*,,*,通識中心,70,70,核心素養,自我表達,0,中文,【跨校線上課程】細節ewant育網平台另行EMail通知。不開放校際選課及加簽,70,622
0101,2,2AB,,Y605,夜不限系別,40,38,統合,專業實作,2,中文,"不開放校際選課,,,,,,,,,,,,,",,
0102,2,3AB,,Y102,夜不限系別,40,37,統合,專業實作,3,中文,"需自備相機；不開放校際選課,,,,,,,,,,,,,",,
0103,2,2AB,,Y305,夜不限系別,70,68,統合,專業實作,2,中文,"不開放校際選課,,,,,,,,,,,,,",,
0104,2,5CD,,Y104,夜不限系別,121,124,自然,工程科技,0,"中文,,,,,,,,,,,,,",,,
0105,2,1CD,,Y104,夜不限系別,121,129,核心素養,反思創新,0,"中文,,,,,,,,,,,,,",,,
0106,2,1AB,,Y308,夜不限系別,50,51,核心素養,審美求真,0,中文,"不開放校際選課,,,,,,,,,,,,,",,
0107,2,5AB,,Y403,夜不限系別,72,38,統合,專業實作,34,"中文,,,,,,,,,,,,,",,,
0108,2,4AB,,Y401,夜不限系別,55,35,統合,專業實作,20,中文,"不開放校際選課及特殊加簽,,,,,,,,,,,,,",,
0109,2,2AB,,Y112,夜不限系別,50,45,人文,藝術,5,"中文,,,,,,,,,,,,,",,,
0110,2,4AB,,Y303,夜不限系別,50,50,社會,心理與教育,0,中文,"不開放校際選課及特殊加簽,,,,,,,,,,,,,",,
0111,2,4AB,,Y212,夜不限系別,50,47,社會,法律與政治,3,"中文,,,,,,,,,,,,,",,,
0112,2,3AB,,Y104,夜不限系別,100,121,社會,法律與政治,0,中文,"不開放校際選課;國防教育只採計一門為通識學分,,,,,,,,,,,,,",,
0113,2,3AB,,Y305,夜不限系別,50,44,人文,文化,6,"中文,,,,,,,,,,,,,",,,
0114,2,2AB,,Y302,夜不限系別,50,55,人文,歷史,0,中文,"不開放特殊加簽,,,,,,,,,,,,,",,
0115,2,2CD,,Y302,夜不限系別,50,54,人文,歷史,0,中文,"不開放特殊加簽,,,,,,,,,,,,,",,
0116,2,3CD,,Y305,夜不限系別,50,54,人文,藝術,0,"中文,,,,,,,,,,,,,",,,
0117,2,5AB,,Y204,夜不限系別,50,45,核心素養,在地關懷,5,"中文,,,,,,,,,,,,,",,,
0118,2,3AB,,Y112,夜不限系別,120,32,自然,生命科學,88,中文,"合授課,,,,,,,,,,,,,",,
