name,dept,requiredType,courseNumber,grade,schedule,weeks,buildingCode,room,instructor,credits,post110Domain,post110Cluster
漫談預防醫學,通識中心,通識,0510,,289,,Y,307,傅令嫻等,2,自然,生命科學
微生物世界,通識中心,通識,0511,,456,,R,10B05,鍾文鑫等,2,自然,生命科學
動物生物科技與生活,通識中心,通識,0512,,234,,Y,112,辛坤鎰等,2,自然,生命科學
樹木身體語言與照護,通識中心,通識,0513,,323,,H,101,劉東啟,2,自然,生命科學
生物電影,通識中心,通識,0514,,134,,AN,514,謝淳仁,2,自然,生命科學
良醫講堂：臨床醫療與衛教,通識中心,通識,0515,,278,,Y,104,林季千等,2,自然,生命科學
良醫講堂：臨床醫療與衛教,通識中心,通識,0516,,478,,Y,112,林季千等,2,自然,生命科學
印度傳統保健法,通識中心,通識,0517,,434,,Y,403,古山吉(Kumar),2,自然,生命科學
蘭大衛講堂：醫療與保健,通識中心,通識,0518,,167,,Y,402,曾信順等,2,自然,生命科學
蘭大衛講堂：醫療與保健,通識中心,通識,0519,,189,,Y,402,葉良財等,2,自然,生命科學
蘭大衛講堂：醫療與保健,通識中心,通識,0520,,589,,Y,402,謝承樸等,2,自然,生命科學
蘭大衛講堂：醫療與保健,通識中心,通識,0521,,567,,Y,402,蘇培元等,2,自然,生命科學
家庭醫學面面觀,通識中心,通識,0522,,234,,Y,207,沈靜慧等,2,自然,生命科學
當代醫學與健康管理,通識中心,通識,0523,,234,,Y,403,古山吉(Kumar),2,自然,生命科學
當代醫學與健康管理,通識中心,通識,0524,,489,,Y,402,陳昶華等,2,自然,生命科學
機智醫療生活,通識中心,通識,0525,,489,,Y,409,胡名賢等,2,自然,生命科學
生活中的植物學,通識中心,通識,0526,,356,,Y,307,林振祥等,2,自然,生命科學
擴增實境模擬動物實驗課程,通識中心,通識,0528,,*,,AT,655,賴千蕙等,2,自然,生命科學
生命科學與人生,通識中心,通識,0529,,267,,Y,308,賴財春等,2,自然,生命科學
生命科學與人生,通識中心,通識,0530,,434,,Y,104,何瓊紋等,2,自然,生命科學
生命科學與人生,通識中心,通識,0531,,456,,Y,104,鄭任鈞等,2,自然,生命科學
營養與保健,通識中心,通識,0532,,534,,Y,403,古山吉(Kumar),2,自然,生命科學
生命的動力與延續,通識中心,通識,0533,,134,,SC,111,楊文明等,2,自然,生命科學
生命的動力與延續,通識中心,通識,0534,,534,,SC,111,楊文明等,2,自然,生命科學
生物醫學新知與應用,通識中心,通識,0535,,456,,Y,402,許美鈴等,2,自然,生命科學
