term,oldDomain,oldCluster,post110Domain,post110Cluster,courseCode,titleZH,titleEN,credits,timeCode,classroom,instructor,unit,quota,enrolled,available,language,note,extra1,extra2,rate
1141,社會,公民與社會,統合,專業實作,0255,現代公民與社會實踐,Modern Citizenship and Social Practice	2	456		Y212	黃馨慧	通識中心	50	51	0	中文	不開放校際選課	50	136	37%,,,,,,,,,,,,,
1141,社會,心理與教育,統合,專業實作,0256,華語教學導論,Introduction to Teaching Chinese as a Second Language	2	478		Y201	莊雅婷	通識中心	45	20	25	中文	需自備筆電	45	28	100%,,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0257,生態旅遊,"Ecotourism	2	434		Y202	程進發	通識中心	40	42	0	中文	不開放校際選課。需配合校外教學,請同學考量課程時間	40	104	38%",,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0258,生態旅遊,"Ecotourism	2	534		Y202	廖志輝	通識中心	50	47	3	中文	不開放校際選課。需配合校外教學,請同學考量課程時間	50	115	43%",,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0259,生態旅遊,"Ecotourism	2	234		AN514	謝淳仁	通識中心	31	33	0	中文	不開放校際選課。需配合校外教學,請同學考量課程時間	31	162	19%",,,,,,,,,,,,,
1141,自然,生命科學,統合,專業實作,0260,生態旅遊,"Ecotourism	2	256		AN514	謝淳仁	通識中心	31	31	0	中文	不開放校際選課。需配合校外教學,請同學考量課程時間	31	202	15%",,,,,,,,,,,,,
1141,社會,商業與管理,統合,專業實作,0261,設計思考,Design Thinking	2	334		A205	張愷勻	通識中心	45	37	8	中文	不開放校際選課及特殊加簽	45	107	42%,,,,,,,,,,,,,
1141,人文,哲學,統合,跨域學習,0264,科學與人文的對話,The Dialogue between Science and Humanities	2	212		Y401	陳迪暉	通識中心	65	58	7	中文	不開放校際選課及特殊加簽	65	128	51%,,,,,,,,,,,,,
1141,自然,物質科學,統合,跨域學習,0265,全球清真產業的基礎科學與技術,Fundamental Science and Technology of Global Halal Industry	3	3234		BI100-1	楊上禾等	通識中心	31	22	9	英文/EMI	English Conducting.	31	27	100%,,,,,,,,,,,,,
1141,自然,工程科技,統合,專業實作,0280,生成式AI與ChatGPT應用,Applications of Generative AI and ChatGPT	2	*		*	全體教師	通識中心	70	70	0	中文	【跨校線上課程】細節ewant育網平台另行EMail通知，晚間有直播可自由參加，不影響成績。不開放校際選課及加簽	70	1031	7%,,,,,,,,,,,,,
